municipio,regiao,estado,id
LIMEIRA,SE,SP,236
LIMOEIRO DO NORTE,NE,CE,237
LINHARES,SE,ES,238
LINS,SE,SP,239
LIVRAMENTO DE NOSSA SENHORA,NE,BA,240
LONDRINA,S,PR,241
LORENA,SE,SP,242
LUZIANIA,CO,GO,243
MACAE,SE,RJ,244
MACAPA,N,AP,245
MACEIO,NE,AL,246
MAFRA,S,SC,247
MAGE,SE,RJ,248
MANACAPURU,N,AM,249
MANAUS,N,AM,250
MANHUACU,SE,MG,251
MARABA,N,PA,252
MARACANAU,NE,CE,253
MARECHAL CANDIDO RONDON,S,PR,254
MARICA,SE,RJ,255
MARILIA,SE,SP,256
MARINGA,S,PR,257
MATAO,SE,SP,258
MAUA,SE,SP,259
MINEIROS,CO,GO,260
MIRASSOL,SE,SP,261
MOCOCA,SE,SP,262
MOGI DAS CRUZES,SE,SP,263
MOGI GUACU,SE,SP,264
